Step,Pop_Mean_DA,Pop_Mean_5HT,Pop_Mean_NA,NPC2_DA,NPC2_5HT,NPC2_NA,Distance_NPC2_to_Mean,Divergence_2_9,Divergence_2_6
111,0.5471818181818181,0.4742727272727272,0.4432727272727272,0.508,0.498,0.154,0.2928769521333303,0.3663140728937397,0.44017496521269805
112,0.5342727272727272,0.4684545454545455,0.4654545454545454,0.466,0.467,0.245,0.23078883769217642,0.3064783842296223,0.3460996966193411
113,0.5191818181818181,0.46218181818181825,0.49145454545454553,0.428,0.439,0.327,0.18946455653187008,0.27046996136354956,0.27568822970885065
114,0.5014545454545455,0.456,0.5176363636363637,0.393,0.414,0.402,0.16400657616325448,0.2639810599266546,0.23472750158428393
115,0.4859090909090908,0.4501818181818182,0.5405454545454546,0.362,0.391,0.469,0.15483766492471662,0.275671906439521,0.22909604972587377
116,0.47163636363636363,0.44463636363636366,0.5596363636363636,0.334,0.371,0.53,0.15888485357080098,0.2983236497497307,0.2451530134426253
117,0.4586363636363636,0.43981818181818183,0.5769090909090909,0.308,0.352,0.585,0.17455317217786495,0.3284920090352275,0.2738320653247169
118,0.44209090909090903,0.436,0.582,0.31,0.353,0.589,0.15616020064172176,0.31592878944471015,0.26993702969396405
119,0.42963636363636365,0.4349090909090909,0.5805454545454546,0.314,0.355,0.588,0.14075795413720876,0.30125736505519657,0.2634198170221823
120,0.42145454545454536,0.43372727272727274,0.5849090909090908,0.319,0.358,0.587,0.12742027162047134,0.2960726262253908,0.2550568564065668
121,0.4389090909090909,0.4385454545454545,0.5743636363636364,0.309,0.364,0.584,0.15008749514315675,0.27390691849604676,0.25900965232979256
122,0.46654545454545454,0.43572727272727274,0.5795454545454546,0.279,0.375,0.577,0.19714862036645522,0.29163161694164785,0.27872746545685084
123,0.47827272727272735,0.4324545454545454,0.5835454545454545,0.25,0.385,0.571,0.23349038594892627,0.3452810449474457,0.3012955359775515
124,0.47854545454545455,0.4315454545454545,0.5733636363636363,0.224,0.394,0.565,0.2574354287972034,0.3271375857341985,0.3256838958253847
125,0.4760909090909091,0.4228181818181818,0.5559999999999999,0.2,0.402,0.56,0.27690356945489075,0.2910704382104098,0.34090907878787857
126,0.47854545454545455,0.4268181818181818,0.5442727272727272,0.175,0.413,0.556,0.3040860306715631,0.3207678288108083,0.3440610410959079
127,0.4804545454545454,0.42854545454545456,0.5360909090909091,0.148,0.427,0.555,0.33299544582794033,0.3576548615634911,0.3510256400891536
128,0.4852727272727273,0.4298181818181819,0.5339999999999999,0.122,0.44,0.554,0.36396530576643277,0.41756077401978264,0.3888354407715428
129,0.49000000000000005,0.43036363636363634,0.5318181818181819,0.099,0.452,0.553,0.39217062823838883,0.4754418997101539,0.4515240857362983
130,0.49627272727272725,0.4354545454545455,0.526090909090909,0.077,0.463,0.553,0.4210373749138907,0.5198480547236857,0.5029075461752388
131,0.5101818181818182,0.4457272727272727,0.5219999999999999,0.056,0.469,0.557,0.4561225096414919,0.5424490759509134,0.555857895509275
132,0.5253636363636365,0.45581818181818173,0.5223636363636364,0.036,0.465,0.572,0.49196020466619733,0.560703130007315,0.622582524650347
133,0.5247272727272728,0.45427272727272716,0.5252727272727272,0.032,0.46,0.565,0.4943594068494054,0.5708038191883442,0.6114253838368177
134,0.5286363636363636,0.4515454545454545,0.5215454545454545,0.085,0.462,0.452,0.44917601328331286,0.5676521822383843,0.49095213615993155
135,0.5333636363636364,0.45263636363636367,0.547,0.13,0.484,0.361,0.4452885590563116,0.5915488145537948,0.4503209966235197
136,0.5331818181818182,0.4531818181818182,0.5466363636363636,0.168,0.503,0.301,0.4429185418457256,0.5934492396153187,0.5317941331003944
137,0.5291818181818182,0.4565454545454546,0.5354545454545454,0.2,0.517,0.261,0.4328287409683701,0.5600303563200838,0.5177962919913583
138,0.5258181818181819,0.46218181818181814,0.5241818181818181,0.226,0.529,0.235,0.4218788161749652,0.5298386546864998,0.5051494828266184
139,0.5144545454545454,0.46854545454545454,0.503,0.246,0.538,0.138,0.4583849657869508,0.5669885360393101,0.5655254194110111
140,0.5018181818181818,0.4671818181818182,0.5021818181818181,0.25,0.538,0.156,0.4339002913226923,0.538354901528722,0.5588801302605058
141,0.493090909090909,0.4677272727272727,0.4949090909090909,0.255,0.539,0.174,0.40589373889323205,0.5188313791589712,0.5608440068325594
142,0.4945454545454545,0.464,0.4913636363636364,0.251,0.46,0.204,0.37670711160513587,0.48801331949035986,0.5636674551541894
143,0.49281818181818177,0.46727272727272734,0.49190909090909096,0.254,0.461,0.218,0.3634551707666639,0.47300422831091055,0.571812032052492
144,0.4874545454545455,0.4688181818181819,0.4776363636363637,0.255,0.461,0.221,0.3463502025550402,0.46798824771568787,0.4521117118589166
145,0.4770909090909091,0.4680909090909091,0.48063636363636364,0.257,0.461,0.225,0.3374021927454259,0.46218070059231164,0.3808359226753695
146,0.4709090909090909,0.46790909090909083,0.4853636363636364,0.262,0.461,0.228,0.3315520850846318,0.45466141248186,0.3391666257166232
147,0.46790909090909094,0.46854545454545454,0.48827272727272725,0.266,0.461,0.232,0.32634326348162096,0.4469899327725402,0.3148237602214927
148,0.46790909090909094,0.47218181818181826,0.48163636363636364,0.27,0.461,0.235,0.3164214550091107,0.4415280285553795,0.2999016505456413
149,0.46772727272727277,0.4748181818181818,0.46709090909090906,0.274,0.461,0.239,0.2995774710438433,0.4346711400587805,0.31911439954975396
150,0.4656363636363637,0.477,0.47245454545454546,0.278,0.461,0.243,0.29683799182117804,0.42905827110079114,0.2651094113757563
151,0.46318181818181825,0.47845454545454547,0.477,0.282,0.461,0.246,0.29409609381407,0.4242381406710151,0.20832666655999663
152,0.4598181818181818,0.4799090909090909,0.4819090909090909,0.287,0.46,0.25,0.28990398809614465,0.4174122662308811,0.15524818839522733
153,0.45500000000000007,0.4807272727272727,0.4884545454545455,0.291,0.46,0.253,0.2876881346352633,0.41260392630221054,0.10954451150103324
154,0.4535454545454545,0.48427272727272735,0.49218181818181816,0.295,0.46,0.257,0.2846687795484197,0.4062031511448428,0.06911584478250987
155,0.45172727272727276,0.48745454545454553,0.49481818181818177,0.299,0.46,0.26,0.28145861225626606,0.40140004982560723,0.04248529157249599
156,0.45,0.4901818181818182,0.49599999999999994,0.303,0.46,0.264,0.27630407551963526,0.3958004547748777,0.04673328578219166
157,0.4475454545454545,0.49163636363636365,0.4977272727272727,0.307,0.46,0.267,0.27200911506360576,0.3910063938096153,0.07301369734508723
158,0.4434545454545455,0.49290909090909096,0.5007272727272728,0.311,0.46,0.27,0.2680714256615173,0.3862162606623393,0.11234767465328331
159,0.43990909090909086,0.4936363636363636,0.5033636363636362,0.315,0.46,0.274,0.2633274836327639,0.3798183776491074,0.14978651474682225
160,0.43436363636363634,0.4946363636363636,0.5061818181818183,0.319,0.46,0.277,0.258906840516267,0.3750346650644444,0.18558825393865852
161,0.42900000000000005,0.49800000000000005,0.5069090909090909,0.322,0.46,0.281,0.2528397068408597,0.37003513346708033,0.21816278326057356
162,0.4262727272727273,0.4987272727272728,0.5085454545454545,0.326,0.46,0.284,0.2489479516779122,0.36525744345598216,0.22097511172075465
163,0.4235454545454545,0.5000909090909091,0.5098181818181818,0.329,0.46,0.287,0.245344790276261,0.3602582407107435,0.21884469378991123
164,0.4228181818181818,0.5004545454545455,0.5106363636363637,0.333,0.459,0.291,0.24088569354648673,0.354678727865092,0.21789446987016448
165,0.42218181818181827,0.501,0.5112727272727273,0.336,0.459,0.294,0.23748419695140335,0.34991141736159453,0.21615272378575295
166,0.41918181818181827,0.4936363636363637,0.509090909090909,0.339,0.459,0.297,0.2293716533748249,0.34572821695661465,0.2143455154651014
167,0.4187272727272727,0.49509090909090914,0.49981818181818183,0.342,0.459,0.301,0.21614415911761567,0.33991469518101153,0.2130962223973011
168,0.4186363636363637,0.49827272727272737,0.49190909090909096,0.345,0.459,0.304,0.20560760589848281,0.33573203600490675,0.20351412727375956
169,0.41818181818181815,0.5000000000000001,0.48754545454545456,0.348,0.459,0.307,0.19799785039320653,0.33155090106950397,0.20469000952660096
170,0.4178181818181818,0.5015454545454546,0.48454545454545456,0.351,0.459,0.31,0.19167916116898648,0.326553211590393,0.2054896591072164
171,0.41763636363636364,0.502909090909091,0.4799090909090909,0.354,0.459,0.313,0.18394629561212014,0.3223740063962974,0.20586160399647138
172,0.4174545454545454,0.5034545454545455,0.4760909090909091,0.356,0.459,0.316,0.17714956094257972,0.31876950920688757,0.2062571210891881
173,0.41954545454545455,0.5020909090909091,0.4776363636363636,0.359,0.459,0.318,0.17608619226798564,0.3154203544478384,0.20689610919492904
174,0.42081818181818176,0.5018181818181818,0.4844545454545454,0.362,0.458,0.321,0.1791563562924854,0.3104351784189414,0.20864563259268093
175,0.42172727272727273,0.5026363636363637,0.49054545454545445,0.364,0.458,0.324,0.18183022687374795,0.3068305721403915,0.2082330425268766
176,0.42263636363636364,0.5040909090909091,0.4959090909090909,0.367,0.458,0.326,0.18463173084022652,0.30347981810987035,0.2089042843026442
